state,left,right,forward,backward,up,down
000,-0.727,-0.709,-0.44,-0.625,-0.622,-0.685
001,-0.576,-0.299,-0.58,-0.564,-0.571,-0.584
002,-0.409,-0.383,-0.383,-0.406,-0.282,-0.451
003,-0.33,-0.288,-0.201,-0.296,-0.333,-0.318
010,-0.649,-0.625,-0.246,-0.602,-0.479,-0.64
011,-0.495,-0.138,-0.504,-0.5,-0.489,-0.527
012,-0.373,-0.359,-0.395,-0.391,-0.182,-0.406
013,-0.263,0.201,-0.273,-0.248,-0.211,-0.257
020,-0.504,-0.534,-0.536,-0.519,-0.185,-0.512
021,-0.477,-0.407,-0.43,-0.446,0.086,-0.429
022,-0.287,-0.294,-0.258,-0.272,0.303,-0.268
023,-0.207,-0.231,0.375,-0.016,-0.199,-0.192
030,-0.447,-0.489,-0.51,-0.489,-0.365,-0.455
031,-0.364,-0.417,-0.027,-0.37,-0.376,-0.384
032,-0.282,-0.184,0.309,-0.289,-0.265,-0.266
033,-0.241,-0.272,0.513,-0.077,-0.049,-0.269
100,-0.566,-0.558,-0.307,-0.594,-0.546,-0.546
101,-0.441,-0.51,-0.139,-0.432,-0.414,-0.432
102,-0.351,-0.35,-0.35,-0.356,-0.112,-0.379
103,-0.235,0.116,-0.229,-0.252,-0.264,-0.215
110,-0.518,-0.082,-0.499,-0.555,-0.532,-0.521
111,-0.37,-0.077,-0.413,-0.408,-0.326,-0.406
112,-0.252,-0.285,-0.232,-0.24,0.026,-0.245
113,-0.156,0.176,-0.174,-0.168,-0.175,-0.161
120,-0.393,-0.426,0.034,-0.33,-0.429,-0.421
121,-0.242,-0.237,-0.159,-0.272,0.262,-0.24
122,-0.123,-0.149,-0.168,-0.191,0.108,-0.207
123,-0.124,0.361,0.166,-0.042,-0.075,-0.13
130,-0.317,-0.344,0.063,-0.363,-0.37,-0.342
131,-0.199,-0.186,-0.192,-0.186,0.256,-0.192
132,-0.162,-0.149,0.197,-0.209,-0.174,-0.137
133,-0.112,-0.112,0.607,-0.075,-0.05,0.164
200,-0.467,-0.498,-0.142,-0.492,-0.475,-0.483
201,-0.333,0.016,-0.321,-0.385,-0.276,-0.364
202,-0.199,-0.22,-0.017,-0.199,-0.215,-0.223
203,-0.149,0.35,-0.168,-0.137,-0.162,-0.199
210,-0.323,0.072,-0.332,-0.332,-0.371,-0.313
211,-0.239,0.087,-0.277,-0.214,-0.214,-0.295
212,-0.183,0.419,-0.136,-0.149,-0.137,-0.175
213,-0.137,0.557,-0.103,-0.112,-0.124,-0.1
220,-0.284,0.213,-0.125,-0.196,-0.281,-0.278
221,-0.227,-0.181,0.256,-0.134,-0.195,-0.183
222,-0.13,-0.088,-0.1,-0.1,0.556,-0.105
223,-0.112,0.637,-0.075,-0.075,0.181,-0.075
230,-0.187,-0.199,-0.174,-0.192,0.453,-0.186
231,-0.169,0.062,0.576,0.113,-0.112,-0.112
232,-0.075,-0.075,-0.1,-0.075,0.66,-0.05
233,0.246,-0.05,0.932,0.0,0.391,0.318
300,-0.368,-0.017,-0.365,-0.353,-0.364,-0.369
301,-0.279,-0.113,-0.198,-0.245,-0.253,-0.117
302,-0.168,-0.154,-0.165,-0.174,0.151,-0.198
303,-0.149,0.117,-0.149,-0.149,-0.149,-0.143
310,-0.273,-0.249,-0.278,-0.281,0.137,-0.244
311,-0.195,0.201,-0.174,-0.162,-0.214,-0.198
312,-0.149,-0.167,-0.105,0.25,-0.156,-0.149
313,-0.137,0.764,-0.149,-0.125,-0.116,0.061
320,-0.199,-0.162,-0.169,-0.185,0.227,-0.156
321,-0.137,-0.16,-0.149,-0.126,0.56,-0.177
322,-0.1,-0.075,-0.1,-0.1,0.684,0.182
323,0.533,0.848,-0.067,-0.106,0.46,-0.075
330,-0.173,-0.199,-0.199,-0.199,0.542,-0.199
331,-0.131,-0.12,-0.149,-0.112,0.736,-0.149
332,0.378,-0.1,-0.1,0.314,0.982,-0.075
333,0.0,0.0,0.0,0.0,0.0,0.0
